Date,Message,Network
05/03/2026 09:00,"Geopolitical risk is underpriced by most retail investors.

When Iran enriches uranium — oil spikes within hours.
When India-Pakistan tensions rise — gold bids up immediately.
When Taiwan headlines break — semiconductor stocks drop.

Most people see the news 12 hours late and wonder why their portfolio moved.

Orrery tracks 35 conflict zones in real time — with direct market impact mapped to stocks, oil, gold and crypto.

Free. No login. No paywall.
👉 orreryx.io/app

#GeopoliticalRisk #Investing #MacroIntelligence #GlobalMarkets",LinkedIn
05/03/2026 10:00,"Which geopolitical risk do you think markets are most underpricing right now?

A) Taiwan Strait 🇹🇼
B) Iran nuclear breakout 🇮🇷
C) India-Pakistan war 🇮🇳🇵🇰
D) Russia escalation 🇷🇺

Track all four live — free, no login:
👉 https://orreryx.io/app",Twitter
05/03/2026 18:00,"🇮🇳🇵🇰 INDIA-PAKISTAN: The most dangerous nuclear flashpoint on earth — right now.

~325 combined warheads. Active hostilities. Gold surging.

Track it live: https://orreryx.io/app

#IndiaPakistan #GeopoliticalRisk #Gold",Twitter
05/04/2026 09:00,"The Russia-Ukraine war has cost global markets an estimated $1.6 trillion in the first 6 months alone.

Most investors found out they were exposed after the fact.

Real-time geopolitical intelligence used to cost $24,000/year (Bloomberg terminal).

Orrery gives you the same conflict tracking, market impact mapping and AI analysis — completely free.

35 countries · Live feed · AI briefs · Video coverage per event

👉 orreryx.io/app

#Ukraine #Russia #GlobalRisk #Investing #MacroEconomics #Markets",LinkedIn
05/04/2026 10:00,"Gold is at all-time highs in 2026.

India-Pakistan war. Iran nuclear risk. Ukraine. US-China trade war.

All happening simultaneously.

Track what's driving every gold move: https://orreryx.io/app

#Gold #GeopoliticalRisk #SafeHaven",Twitter
05/04/2026 18:00,"Bloomberg charges $24,000/year for geopolitical intelligence.

Orrery gives you the same:
✅ Live conflict feed — 35 countries
✅ Market impact mapping
✅ AI analysis on demand
✅ Free. No account needed.

https://orreryx.io/app",Twitter
05/05/2026 09:00,"Iran's nuclear programme. North Korea's ICBM tests. China's Taiwan strait exercises.

These aren't just political events — they're market-moving signals that serious investors track daily.

Orrery is a free geopolitical intelligence platform that maps every major conflict to its asset class impact:
→ Oil and gas exposure
→ Gold and safe-haven flows
→ Defence and aerospace stocks
→ Emerging market currency risk

Used by analysts, portfolio managers and researchers across 40+ countries.

Free at orreryx.io/app

#GeopoliticalRisk #Commodities #DefenceStocks #MacroInvesting #Intelligence",LinkedIn
05/05/2026 10:00,"🇮🇷 Iran nuclear enrichment: 60% purity. Breakout time: weeks.

Strait of Hormuz = 20% of world's oil supply.

Any escalation = oil spike + gold surge.

Track it before it happens: https://orreryx.io/app

#Iran #Oil #GeopoliticalRisk",Twitter
05/05/2026 18:00,"35 countries. 9 languages. Live market impact.

🇺🇦 Ukraine → energy, defence stocks
🇮🇷 Iran → oil, Hormuz
🇹🇼 Taiwan → semiconductors, TSMC
🇮🇳🇵🇰 India-Pakistan → gold, EM equities

All free at: https://orreryx.io/app",Twitter
05/06/2026 09:00,"India-Pakistan conflict risk is at a multi-year high.

Both sides have nuclear capability. Active hostilities on the Line of Control. International mediation ongoing.

The market impact is already visible:
• Gold up on safe-haven demand
• Emerging market indices under pressure
• Energy prices elevated on regional instability

Orrery tracks this and 14 other active conflict zones in real time — with live price feeds mapped to each event.

Free: orreryx.io/app

#IndiaPakistan #GeopoliticalRisk #Gold #EmergingMarkets #MacroIntelligence",LinkedIn
